file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,39,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(newtext, p->text);"
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,40,high,confirmed,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(newtext, text);"
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,26,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Paragraph *p = malloc(sizeof(Paragraph));
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,27,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->id = strdup(id);
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,28,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->text = strdup(text);
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,38,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *newtext = malloc(strlen(p->text) + strlen(text) + 1);
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,49,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->text = strdup(text);
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,39,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(newtext, p->text);"
/home/yichen/Desktop/Deepseek_Baseline_Code06/F001.c,40,high,confirmed,memory,memory_string,string,tainted_sink:strcat,externally controlled input appears to reach strcat argument 2,"strcat(newtext, text);"
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,39,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(combined, m1->msg);"
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,40,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(combined, "" "");"
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,41,high,confirmed,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(combined, m2->msg);"
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,25,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Message *m = malloc(sizeof(Message));
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,26,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,m->tag = strdup(tag);
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,27,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,m->msg = strdup(msg);
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,38,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *combined = malloc(strlen(m1->msg) + strlen(m2->msg) + 2);
/home/yichen/Desktop/Deepseek_Baseline_Code06/F002.c,39,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(combined, m1->msg);"
