"cwe_id","risk_type","official_weakness_name","selection_basis","cert_c_rules","task_category","applicable_c_functions","unsafe_patterns_to_avoid","required_safe_design_actions","executable_security_design_checks","related_scanner_checks","sdf_prompt_instruction"
"CWE-787","Out-of-bounds write","Out-of-bounds Write","2025 CWE Top 25 Rank 5; 2025 KEV Rank 3; related to C memory-safety scope","ARR30-C; STR31-C","String handling; array writing; buffer writing","strcpy; strcat; sprintf; sscanf; scanf; fscanf; memcpy; memmove; array writes","Writing to arrays or strings without proving destination capacity; unbounded %s or %[ conversions; sprintf into fixed buffers; copying attacker-controlled input into fixed arrays","Track destination capacity; limit every input or copy operation; preserve null terminators; prefer snprintf with explicit capacity; reject or truncate oversized input deliberately","Before every write, prove destination capacity is sufficient; for scanf, sscanf, and fscanf, every %s or %[ conversion must include an explicit width smaller than the destination buffer; avoid gets, strcpy, strcat, and sprintf unless bounds are proven","scanf_unbounded_string_conversion; scanf_width_exceeds_destination; explicit_bound_exceeds_destination:*; dangerous_function:strcpy; dangerous_function:strcat; dangerous_function:sprintf; tainted_sink:strcpy; tainted_sink:memcpy","Before coding, identify every buffer write and state the capacity rule that prevents writing past the object."
"CWE-125","Out-of-bounds read","Out-of-bounds Read","2025 CWE Top 25 Rank 8; related to C memory-safety scope","ARR30-C","Array reading; file parsing; string parsing","array indexing; pointer traversal; strlen; strcmp; sscanf parsing; file parsing loops","Reading past array length; using loop bounds unrelated to the actual object; assuming parsed fields exist; reading unterminated strings","Derive read bounds from actual object length; validate parse counts; check null terminators; stop traversal at known object boundaries","Check that every index satisfies 0 <= index < length; derive loop bounds from actual object length; verify available bytes before parsing files, arrays, or strings","argv_without_sufficient_argc_check; argv_used_without_argc; scanf_width_destination_unknown","Before coding, define the valid range for every array, string, and parsed field access."
"CWE-120","Classic buffer overflow","Classic Buffer Overflow","2025 CWE Top 25 Rank 11; related to C memory-safety scope","STR31-C; ARR30-C","String input; fixed-size buffers; command parsing","scanf; sscanf; fgets; strcpy; strncpy; strcat; sprintf; snprintf","Using %s or %[ without a width; using %[^\n] into a fixed array without a width; copying strings without checking strlen; assuming input fits local buffers","Use bounded widths in scanf-family calls; use snprintf for formatting; compare source length with destination capacity; allocate based on strlen + 1 when needed","Limit input length; ensure destination string storage includes space for the null terminator; use bounded functions such as fgets and snprintf; compare source length with destination capacity before copying","scanf_unbounded_string_conversion; dangerous_function:strncpy; dangerous_function:sprintf; dangerous_function:strcpy; explicit_bound_exceeds_destination:*","For every input command, design a parsing format that cannot write beyond fixed buffers."
"CWE-121","Stack-based buffer overflow","Stack-based Buffer Overflow","2025 CWE Top 25 Rank 14; related to C memory-safety scope","STR31-C; ARR30-C","Stack buffers; local arrays; temporary parsing buffers","local char arrays; scanf; sscanf; sprintf; memcpy; strncpy","Copying uncontrolled input into local arrays; declaring small temporary arrays for arbitrary input; formatting into stack buffers without capacity checks","Use explicit capacities; bound every parse and write; avoid storing arbitrary-length fields in fixed local buffers unless truncated safely","Define explicit capacity for stack arrays; do not copy uncontrolled input into local arrays without bounds checking; ensure write length never exceeds array size","scanf_unbounded_string_conversion; scanf_width_exceeds_destination; dangerous_function:sprintf; explicit_bound_exceeds_destination:*","For each local array, specify its maximum accepted input length and enforce that length at the input boundary."
"CWE-122","Heap-based buffer overflow","Heap-based Buffer Overflow","2025 CWE Top 25 Rank 16; 2025 KEV Rank 9; related to C memory-safety scope","MEM35-C; ARR30-C; INT30-C","Dynamic memory allocation; heap strings; dynamic arrays","malloc; calloc; realloc; strdup; getline; memcpy; sprintf; snprintf","Allocating too few bytes; forgetting null terminator space; using realloc without tracking new capacity; writing more data than allocated capacity","Store heap capacity beside heap buffers; allocate strlen + 1 for strings; check size calculations; grow arrays before writing; use temporary pointer for realloc","Calculate malloc, calloc, realloc, strdup, or getline-owned buffer sizes correctly; check heap buffer capacity before writing; check integer overflow before computing n * sizeof(type)","allocation_size_without_overflow_guard; realloc_direct_assign; dangerous_function:sprintf; explicit_bound_exceeds_destination:*; tainted_sink:memcpy","Before coding dynamic buffers, define both length and capacity and update capacity on every allocation or reallocation."
"CWE-416","Use after free","Use After Free","Related to C memory lifetime and ownership safety","MEM30-C","Memory lifetime management; ownership transfer; deletion workflows","free; realloc; linked list deletion; pointer aliases","Using a pointer after free; freeing an object while another structure still points to it; returning pointers to freed objects; deleting nodes without updating links","Define single ownership; unlink objects before freeing; do not access freed pointers; set reusable pointers to NULL; carefully handle aliases","Define memory ownership clearly; do not read or write memory after free; set pointers to NULL after release when reused; do not return or store pointers to freed objects","memory_runtime_score via ASan; clang_analyzer core.*; cppcheck memleak and lifetime warnings","Before coding deletion paths, state who owns each object and what pointers must be updated before free."
"CWE-415","Double free","Double Free","Related to C memory lifetime and ownership safety","MEM30-C; MEM34-C","free/realloc lifetime management; cleanup paths; error handling","free; realloc; cleanup labels; linked list deletion","Freeing the same object on multiple cleanup paths; freeing aliases; freeing after ownership was transferred; direct realloc assignment losing original ownership","Use one cleanup path per owner; set pointers to NULL after free when reused; document ownership transfer; do not free borrowed pointers","Free each dynamically allocated object at most once; set pointers to NULL after free when the pointer may be reused; define ownership when multiple aliases refer to the same memory block","memory_runtime_score via ASan; clang_analyzer unix.Malloc; cppcheck memleakOnRealloc","Before coding cleanup, map each allocation to exactly one owner and one free responsibility."
"CWE-401","Memory leak","Missing Release of Memory after Effective Lifetime","Related to C memory lifetime and cleanup safety","MEM31-C","Dynamic memory release; getline buffers; strdup strings; error paths","malloc; calloc; realloc; strdup; getline; free","Not freeing strdup or getline memory; returning early without cleanup; overwriting pointers without freeing old memory; losing old pointer after realloc failure","Free all owned allocations on success and failure paths; free getline buffers; free old strings before replacement; use temporary pointers for realloc","Ensure every successful malloc, calloc, realloc, strdup, or getline allocation has a corresponding free; release allocated memory on error paths; clean up temporary memory before function return","unchecked_allocation:*; realloc_direct_assign; clang_analyzer unix.Malloc; cppcheck memleak; cppcheck memleakOnRealloc","Before coding, write down the cleanup rule for every allocation site including early returns."
"CWE-131","Incorrect buffer size calculation","Incorrect Calculation of Buffer Size","Related to C allocation-size and string-size safety","MEM35-C; INT30-C; ARR30-C","Allocation size calculation; string construction; dynamic arrays","malloc; calloc; realloc; strlen; sizeof; snprintf","Using sizeof(pointer) instead of sizeof(object); omitting null terminator space; calculating n * sizeof(T) without overflow check; allocating based on stale capacity","Use sizeof *ptr style when possible; include +1 for strings; check multiplication and addition overflow; maintain capacity variables","Include element count, element size, and terminator space in allocation size; check multiplication and addition overflow; avoid using sizeof(pointer) when sizeof(object) is required","allocation_size_without_overflow_guard; explicit_bound_exceeds_destination:*","Before allocation, compute required bytes explicitly and verify that the calculation cannot overflow."
"CWE-476","Null pointer dereference","NULL Pointer Dereference","Related to allocation failure and pointer validity in C programs","EXP34-C; ERR33-C","Pointer validity; allocation failure handling; error handling","malloc; calloc; realloc; strdup; getline; fopen; pointer dereference","Dereferencing allocation results before checking; assuming strdup or getline succeeded; ignoring fopen failure; using pointers after failed realloc","Check every allocation and resource result before use; return early or clean up on failure; keep original pointer when realloc fails","Check pointers before dereferencing; check return values from malloc, calloc, realloc, strdup, getline, and fopen; return early on failure and release already allocated resources","unchecked_allocation:malloc; unchecked_allocation:calloc; unchecked_allocation:realloc; unchecked_allocation:strdup; unchecked_fopen; clang_analyzer core.NullDereference","Before dereferencing any returned pointer, design the failure branch and cleanup behavior."
