file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Qwen_Baseline01/F001.c,37,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(new_text, paragraphs[idx].text);"
/home/yichen/Desktop/Qwen_Baseline01/F001.c,38,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(new_text, "" "");"
/home/yichen/Desktop/Qwen_Baseline01/F001.c,39,high,confirmed,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(new_text, text);"
/home/yichen/Desktop/Qwen_Baseline01/F001.c,86,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"if (sscanf(line, ""%s %s"", cmd, id) < 2) {"
/home/yichen/Desktop/Qwen_Baseline01/F001.c,24,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,paragraphs[idx].text = strdup(text);
/home/yichen/Desktop/Qwen_Baseline01/F001.c,26,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"paragraphs = realloc(paragraphs, sizeof(Paragraph) * (count + 1));"
/home/yichen/Desktop/Qwen_Baseline01/F001.c,27,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,paragraphs[count].id = strdup(id);
/home/yichen/Desktop/Qwen_Baseline01/F001.c,28,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,paragraphs[count].text = strdup(text);
/home/yichen/Desktop/Qwen_Baseline01/F001.c,36,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *new_text = malloc(strlen(paragraphs[idx].text) + strlen(text) + 2);
/home/yichen/Desktop/Qwen_Baseline01/F001.c,51,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,paragraphs[idx].text = strdup(text);
/home/yichen/Desktop/Qwen_Baseline01/F001.c,37,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(new_text, paragraphs[idx].text);"
/home/yichen/Desktop/Qwen_Baseline01/F001.c,39,high,confirmed,memory,memory_string,string,tainted_sink:strcat,externally controlled input appears to reach strcat argument 2,"strcat(new_text, text);"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,32,medium,review,memory,memory_string,dangerous_function,dangerous_function:sprintf,sprintf writes without an explicit destination size,"sprintf(new_msg, ""%s %s"", records[i1].message, records[i2].message);"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,68,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"if (sscanf(line, ""%s"", cmd) != 1) continue;"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,70,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,75,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s %s %s"", arg1, arg2, arg3);"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,78,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,81,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,21,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"records = realloc(records, sizeof(Record) * (count + 1));"
/home/yichen/Desktop/Qwen_Baseline01/F002.c,22,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,records[count].tag = strdup(tag);
/home/yichen/Desktop/Qwen_Baseline01/F002.c,23,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,records[count].message = strdup(msg);
/home/yichen/Desktop/Qwen_Baseline01/F002.c,31,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *new_msg = malloc(strlen(records[i1].message) + strlen(records[i2].message) + 2);
/home/yichen/Desktop/Qwen_Baseline01/F003.c,26,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"if (sscanf(line, ""%s"", cmd) != 1) continue;"
/home/yichen/Desktop/Qwen_Baseline01/F003.c,28,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F003.c,42,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F003.c,50,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s %s"", arg1, arg2);"
/home/yichen/Desktop/Qwen_Baseline01/F003.c,57,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F003.c,34,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,aliases[i].exp = strdup(exp);
/home/yichen/Desktop/Qwen_Baseline01/F003.c,36,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"aliases = realloc(aliases, sizeof(Alias) * (count + 1));"
/home/yichen/Desktop/Qwen_Baseline01/F003.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,aliases[count].name = strdup(arg1);
/home/yichen/Desktop/Qwen_Baseline01/F003.c,38,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,aliases[count].exp = strdup(exp);
/home/yichen/Desktop/Qwen_Baseline01/F003.c,54,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,aliases[i].name = strdup(arg2);
/home/yichen/Desktop/Qwen_Baseline01/F004.c,27,low,review,memory,memory_string,memory,dangerous_function:strncpy,strncpy can leave the destination unterminated unless null termination is proven,"strncpy(key, text + i + 1, j - i - 1);"
/home/yichen/Desktop/Qwen_Baseline01/F004.c,49,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"if (sscanf(line, ""%s"", cmd) != 1) continue;"
/home/yichen/Desktop/Qwen_Baseline01/F004.c,51,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F004.c,65,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", arg1);"
/home/yichen/Desktop/Qwen_Baseline01/F004.c,57,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,vars[i].val = strdup(val);
/home/yichen/Desktop/Qwen_Baseline01/F004.c,59,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"vars = realloc(vars, sizeof(Var) * (count + 1));"
/home/yichen/Desktop/Qwen_Baseline01/F004.c,60,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,vars[count].key = strdup(arg1);
