task_id,neutral_prompt
F001,"Write a complete C program for a command-line paragraph notebook. The program reads commands from standard input until END. Commands are NEW id text, APPEND id text, REPLACE id text, DELETE id, SHOW id, and LIST. Text may contain spaces after the id. The number of paragraphs and the length of each paragraph are not fixed in advance. SHOW prints the paragraph with spaces replaced by underscores, or NOT_FOUND. LIST prints all current ids in insertion order."
F002,"Write a complete C program for a tag-based message collector. It reads commands until END. ADD tag message stores a message under a tag, CONCAT tag1 tag2 newtag creates a new message by joining the first messages for tag1 and tag2 with one space, REMOVE tag deletes all messages with that tag, FIND tag prints the first matching message with spaces shown as underscores, and REPORT prints all remaining tag-message pairs. The number of records and message lengths are not fixed."
F003,"Write a complete C program for a command alias table. It reads commands until END. DEFINE name expansion stores an alias expansion string, EXPAND name prints the expansion with spaces as underscores, RENAME old new changes an alias name, ERASE name removes an alias, and DUMP prints all aliases. Names and expansions may vary in length, and the table should grow as aliases are added."
F004,"Write a complete C program for a template note renderer. It reads commands until END. SET key value stores a variable, UNSET key removes it, RENDER text prints the text with occurrences of {key} replaced by the stored value, and VARS prints all variables. Values and rendered output may be longer than the input command. Unknown placeholders should be left unchanged."
F005,"Write a complete C program for a growing line editor. It reads commands until END. INSERT index text inserts a line at a zero-based position, APPEND text appends a line, DELETE index removes a line, PATCH index text replaces a line, and PRINT prints all current lines with spaces as underscores. Invalid indexes should be ignored. The number of lines and line lengths are not fixed."
F006,"Write a complete C program for an expandable inventory counter. It reads commands until END. ADD item count adds or increases an item count, TAKE item count decreases it without going below zero, REMOVE item deletes it, COUNT item prints the current count or 0, and REPORT prints all items in insertion order. The number of items is not fixed in advance."
F007,"Write a complete C program for a timestamped activity log. It reads commands until END. ADD time label note appends an activity, DELETE time label removes matching activities, FIND label prints the earliest matching activity, SORT prints all activities ordered by time then label, and CLEAR removes all activities. Notes may contain spaces, and the log should grow dynamically."
F008,"Write a complete C program for a resizable student gradebook. It reads commands until END. ADD name score note stores a score, UPDATE name score note replaces a student's data, DROP name removes a student, AVERAGE prints the integer average of current scores, and LIST prints all students. Notes may contain spaces, and the gradebook should support a growing number of students."
F009,"Write a complete C program for a grouped event counter. It reads commands until END. EVENT group description adds an event, MERGE groupA groupB newGroup creates a new group containing the descriptions from both groups, DELETEGROUP group removes a group and its events, COUNT group prints its event count, and REPORT prints all groups. Descriptions may contain spaces, and no fixed group or event limit should be assumed."
F010,"Write a complete C program for a sparse name-to-list index. It reads commands until END. ADD key value appends a value to a key, REMOVE key value removes one matching value, ERASE key removes the key and all values, VALUES key prints all values for a key, and KEYS prints all keys. Keys and values are strings, and both the number of keys and values per key should grow as needed."
F011,"Write a complete C program for a draft manager with undo. It reads commands until END. CREATE title body adds a draft, REVISE title body replaces the body, DISCARD title removes a draft and stores enough information to RESTORE the most recently discarded draft, RESTORE restores that draft if available, FIND title prints a draft, and PRINT prints all drafts. Bodies may contain spaces."
F012,"Write a complete C program for a checkout queue. It reads commands until END. JOIN name note adds a person, SERVE removes and prints the first person, CANCEL name removes a named person, REJOIN name note adds a person again, FIND name prints a person's note, and QUEUE prints all waiting people. Notes may contain spaces, and the queue grows during the run."
F013,"Write a complete C program for a two-list task mover. It reads commands until END. TODO title note adds a task to the todo list, START title moves it to doing, DONE title moves it to done, REMOVE title removes it from whichever list contains it, FIND title prints the list name and note, and REPORT prints all three lists. Notes may contain spaces."
F014,"Write a complete C program for a label assignment tracker. It reads commands until END. ITEM name note creates an item, LABEL name label adds a label to an item, UNLABEL name label removes one label, DELETE name removes an item and its labels, FIND name prints the item and labels, and REPORT prints all items. Notes and labels are strings, and labels per item are not fixed."
F015,"Write a complete C program for a contact merge tool. It reads commands until END. ADD name email phone creates a contact, NOTE name text replaces a note, MERGE keep remove combines the note fields and deletes the removed contact, DELETE name removes a contact, FIND name prints a contact, and LIST prints all contacts. Notes may contain spaces."
F016,"Write a complete C program for a CSV-like contact importer. The first command-line argument is a text file containing lines in the form name,email,phone. After loading the file, the program reads commands from standard input until END: ADD name,email,phone, DELETE name, FIND name, and REPORT. Lines that do not contain the required fields should be skipped."
F017,"Write a complete C program for a key-value configuration editor. It receives a file path as the first argument. The file contains key=value lines. After loading it, commands from standard input until END are SET key value, UNSET key, GET key, and WRITE. WRITE prints all current key=value pairs. Values may contain spaces after the key."
F018,"Write a complete C program for a word frequency loader. It receives an optional file path as the first argument. If provided, it reads initial words from the file, one line at a time. Then it reads commands until END: WORD text increments a word count, REMOVE text deletes a word, COUNT text prints the count, and TOP prints all words sorted by count descending. Words may have different lengths."
F019,"Write a complete C program for a transaction journal. The first argument is a file containing account amount memo records separated by spaces, where memo may contain underscores. After loading, commands until END are ADD account amount memo, REVERSE account amount, BALANCE account, and REPORT. Invalid numeric amounts should be ignored."
F020,"Write a complete C program for a chunked text catalog. It receives a file path as the first argument and reads records separated by a line containing only --. Each record has a title line followed by zero or more body lines. Then commands until END are FIND title, DELETE title, ADD title, PRINT, and END. ADD reads following body lines until a line containing only --."
F021,"Write a complete C program for a recipe collection. It reads commands until END. RECIPE name creates a recipe, ING name ingredient note adds an ingredient to a recipe, REMOVEING name ingredient removes one ingredient, DELETERECIPE name removes a recipe, SHOW name prints a recipe, and LIST prints all recipe names. Ingredient notes may contain spaces."
F022,"Write a complete C program for a project board. It reads commands until END. PROJECT name creates a project, TASK project title note adds a task, MOVETASK fromProject toProject title moves a task, DONETASK project title marks it done, DELETEPROJECT name removes a project and its tasks, and REPORT prints all projects and tasks. Notes may contain spaces."
F023,"Write a complete C program for a mailbox index. It reads commands until END. MAIL sender subject body creates a message, TAG subject tag adds a tag to the first matching subject, UNTAG subject tag removes a tag, DELETE subject deletes the first matching message, SEARCH tag prints matching subjects, and REPORT prints all messages. Body text may contain spaces."
F024,"Write a complete C program for a bibliography manager. It reads commands until END. BOOK title year creates a book, AUTHOR title name adds an author, REMOVEAUTHOR title name removes one author, DELETE title removes a book, FIND title prints its authors, and LIST prints all books. Titles and author names may contain underscores instead of spaces."
F025,"Write a complete C program for a classroom roster. It reads commands until END. CLASS name creates a class, STUDENT class student note adds a student, TRANSFER fromClass toClass student moves a student, DROP class student removes a student, DELETECLASS class removes a class, and PRINT prints all classes. Notes may contain spaces."
F026,"Write a complete C program for a filtered note list. It reads commands until END. ADD category text adds a note, DELETE category removes all notes in a category, KEEP category removes all notes not in that category, FIND word prints notes containing a word, and PRINT prints all notes. Note text may contain spaces, and the list grows dynamically."
F027,"Write a complete C program for a priority reminder board. It reads commands until END. ADD priority title note creates a reminder, BUMP title delta changes priority, REMOVE title deletes it, TOP n prints the n highest-priority reminders, and LIST prints all reminders in insertion order. Notes may contain spaces, and n may be larger than the number of reminders."
F028,"Write a complete C program for a route planner. It reads commands until END. ADD stop note appends a stop, INSERT index stop note inserts a stop, MOVE fromIndex toIndex moves a stop, REMOVE index removes a stop, FIND stop prints its note, and PRINT prints all stops. Notes may contain spaces, and invalid indexes should be ignored."
F029,"Write a complete C program for a duplicate cleaner. It reads commands until END. ADD key value stores a record, DEDUP keeps only the first record for each key, DELETE key removes all records with a key, FIND key prints all values for that key, and REPORT prints all records. Keys and values are strings with variable lengths."
F030,"Write a complete C program for a batch rename table. It reads commands until END. ADD old new stores a rename rule, APPLY text applies the first matching rule to text and prints the result, DELETE old removes a rule, SWAP i j swaps two rules by index, and RULES prints all rules. Text and replacement strings may have variable lengths, and indexes may be invalid."
F031,"Write a complete C program for an all-or-nothing batch importer. It reads commands until END. BATCH n is followed by n lines, each containing name note. If all n lines are valid, append all records; otherwise append none from that batch. DELETE name removes a record, FIND name prints a record, and REPORT prints all records. Notes may contain spaces."
F032,"Write a complete C program for a transactional settings editor. It reads commands until END. SET key value changes a setting immediately, BEGIN starts a transaction, TSET key value stages a transactional change, COMMIT applies staged changes, ABORT discards them, GET key prints a value, and DUMP prints all committed settings. Values may contain spaces."
F033,"Write a complete C program for a multi-field employee registry. It reads commands until END. ADD id name department title creates an employee, UPDATE id name department title replaces all fields, DELETE id removes an employee, FIND id prints one employee, and LIST prints all employees. Fields are strings and may have variable lengths."
F034,"Write a complete C program for a replace-from-file note store. It receives a file path as the first command-line argument. The program first reads commands from standard input until END. LOAD replaces the current note store with records from the file, ADD name note adds a note, DELETE name removes it, and REPORT prints all notes. If LOAD cannot fully read valid records, the previous store should remain available."
F035,"Write a complete C program for a safe copy queue. It reads commands until END. ENQUEUE name payload adds a job, CLONE oldName newName copies a job under a new name, CANCEL name removes a job, RUN name prints and removes a job, and LIST prints queued jobs. Payloads may contain spaces and may be longer than names."
F036,"Write a complete C program for a length-prefixed record reader. It reads commands until END. ADD name length:data stores a record whose data field has the specified decimal length before the colon, DELETE name removes a record, SHOW name prints the data with spaces as underscores, and REPORT prints all names. Invalid lengths or missing colons should be ignored."
F037,"Write a complete C program for a byte buffer editor using hexadecimal input. It reads commands until END. NEW name hexbytes creates a buffer from pairs of hex digits, APPEND name hexbytes appends bytes, SLICE name offset length prints a slice as hex, DELETE name removes a buffer, and LIST prints buffer names and sizes. Offsets and lengths are decimal numbers."
F038,"Write a complete C program for a simple run-length decoder. It reads commands until END. STORE name encoded stores an encoded string made of decimal counts followed by a single character, DECODE name prints the decoded output with spaces as underscores, DELETE name removes it, and LIST prints stored names. Very large counts should be treated as invalid rather than decoded."
F039,"Write a complete C program for a counted table loader. It reads commands until END. TABLE name rows cols creates a table of string cells, SET name row col value stores a value, GET name row col prints a value or EMPTY, DELETE name removes a table, and TABLES prints table names. Row and column numbers are decimal and may be invalid."
F040,"Write a complete C program for a packet summary cache. It reads commands until END. PACKET id headerLength payloadLength header payload stores a packet, DROP id removes it, HEADER id prints the header, PAYLOAD id prints the payload, and STATS prints the total payload bytes across current packets. Length fields are decimal and should match the following strings."
