file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,65,medium,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(id, id_start, id_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,102,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(notebook[found].text + old_len, text);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,64,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *id = malloc(id_len + 1);
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,79,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,notebook[found].text = strdup(text);
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,84,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"notebook = realloc(notebook, capacity * sizeof(Paragraph));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,87,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,notebook[count].text = strdup(text);
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,101,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"notebook[found].text = realloc(notebook[found].text, old_len + add_len + 1);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,115,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,notebook[found].text = strdup(text);
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,65,medium,confirmed,memory,memory_copy,memory,tainted_sink:memcpy,externally controlled input appears to reach memcpy argument 2,"memcpy(id, id_start, id_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F001.c,102,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(notebook[found].text + old_len, text);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,66,medium,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(tag, tag_start, tag_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,89,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(nm, records[f1].message);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,90,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(nm, "" "");"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,91,high,confirmed,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(nm, records[f2].message);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,65,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *tag = malloc(tag_len + 1);
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,72,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"records = realloc(records, capacity * sizeof(Record));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,75,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,records[count].message = strdup(message);
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,88,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *nm = malloc(len1 + len2 + 2);
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,94,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"records = realloc(records, capacity * sizeof(Record));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,96,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,records[count].tag = strdup(nt);
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,66,medium,confirmed,memory,memory_copy,memory,tainted_sink:memcpy,externally controlled input appears to reach memcpy argument 2,"memcpy(tag, tag_start, tag_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,89,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(nm, records[f1].message);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F002.c,91,high,confirmed,memory,memory_string,string,tainted_sink:strcat,externally controlled input appears to reach strcat argument 2,"strcat(nm, records[f2].message);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F003.c,66,medium,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(name, name_start, name_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F003.c,65,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *name = malloc(name_len + 1);
/home/yichen/Desktop/Gemini_Baseline_Code07/F003.c,79,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,aliases[found].expansion = strdup(expansion);
/home/yichen/Desktop/Gemini_Baseline_Code07/F003.c,84,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"aliases = realloc(aliases, capacity * sizeof(Alias));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F003.c,87,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,aliases[count].expansion = strdup(expansion);
/home/yichen/Desktop/Gemini_Baseline_Code07/F003.c,117,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,aliases[i].name = strdup(new_name);
/home/yichen/Desktop/Gemini_Baseline_Code07/F003.c,66,medium,confirmed,memory,memory_copy,memory,tainted_sink:memcpy,externally controlled input appears to reach memcpy argument 2,"memcpy(name, name_start, name_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,66,medium,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(key, key_start, key_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,117,medium,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(k_buf, text + 1, k_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,65,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *key = malloc(key_len + 1);
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,79,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,vars[found].value = strdup(value);
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,84,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"vars = realloc(vars, capacity * sizeof(Variable));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,87,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,vars[count].value = strdup(value);
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,116,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *k_buf = malloc(k_len + 1);
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,66,medium,confirmed,memory,memory_copy,memory,tainted_sink:memcpy,externally controlled input appears to reach memcpy argument 2,"memcpy(key, key_start, key_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F004.c,117,medium,confirmed,memory,memory_copy,memory,tainted_sink:memcpy,externally controlled input appears to reach memcpy argument 2,"memcpy(k_buf, text + 1, k_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F005.c,68,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"lines = realloc(lines, capacity * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F005.c,73,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,lines[idx] = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F005.c,80,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"lines = realloc(lines, capacity * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F005.c,82,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,lines[count] = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F005.c,103,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,lines[idx] = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F006.c,73,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"inv = realloc(inv, capacity * sizeof(InvItem));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F006.c,75,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,inv[count].item = strdup(name);
/home/yichen/Desktop/Gemini_Baseline_Code07/F007.c,69,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(temp, log, count * sizeof(Activity));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F007.c,90,medium,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(label, lbl_start, lbl_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F007.c,68,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Activity *temp = malloc(count * sizeof(Activity));
/home/yichen/Desktop/Gemini_Baseline_Code07/F007.c,89,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *label = malloc(lbl_len + 1);
/home/yichen/Desktop/Gemini_Baseline_Code07/F007.c,96,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"log = realloc(log, capacity * sizeof(Activity));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F007.c,100,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,log[count].note = strdup(note);
/home/yichen/Desktop/Gemini_Baseline_Code07/F007.c,90,medium,confirmed,memory,memory_copy,memory,tainted_sink:memcpy,externally controlled input appears to reach memcpy argument 2,"memcpy(label, lbl_start, lbl_len);"
/home/yichen/Desktop/Gemini_Baseline_Code07/F008.c,80,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"gradebook = realloc(gradebook, capacity * sizeof(Student));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F008.c,82,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,gradebook[count].name = strdup(name);
/home/yichen/Desktop/Gemini_Baseline_Code07/F008.c,84,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,gradebook[count].note = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F008.c,98,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,gradebook[i].note = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,75,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"groups = realloc(groups, capacity * sizeof(Group));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,77,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,groups[count].name = strdup(gname);
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,86,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"groups[found].events = realloc(groups[found].events, groups[found].event_capacity * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,86,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"groups[found].events = realloc(groups[found].events, groups[found].event_capacity * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,101,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"groups = realloc(groups, capacity * sizeof(Group));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,103,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,groups[count].name = strdup(nG);
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,106,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,groups[count].events = malloc(groups[count].event_capacity * sizeof(char *));
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,106,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,groups[count].events = malloc(groups[count].event_capacity * sizeof(char *));
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,109,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,groups[count].events[idx++] = strdup(groups[fA].events[i]);
/home/yichen/Desktop/Gemini_Baseline_Code07/F009.c,112,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,groups[count].events[idx++] = strdup(groups[fB].events[i]);
/home/yichen/Desktop/Gemini_Baseline_Code07/F010.c,72,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"entries = realloc(entries, capacity * sizeof(IndexEntry));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F010.c,74,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,entries[count].key = strdup(k);
/home/yichen/Desktop/Gemini_Baseline_Code07/F010.c,83,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"entries[found].values = realloc(entries[found].values, entries[found].val_capacity * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F010.c,83,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"entries[found].values = realloc(entries[found].values, entries[found].val_capacity * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,61,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"drafts = realloc(drafts, capacity * sizeof(Draft));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,63,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,drafts[count].title = strdup(last_discarded_title);
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,64,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,drafts[count].body = strdup(last_discarded_body);
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,84,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"drafts = realloc(drafts, capacity * sizeof(Draft));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,86,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,drafts[count].title = strdup(title);
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,87,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,drafts[count].body = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,99,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,drafts[i].body = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,117,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,last_discarded_title = strdup(drafts[found].title);
/home/yichen/Desktop/Gemini_Baseline_Code07/F011.c,118,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,last_discarded_body = strdup(drafts[found].body);
/home/yichen/Desktop/Gemini_Baseline_Code07/F012.c,78,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"queue = realloc(queue, capacity * sizeof(Person));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F012.c,80,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,queue[count].name = strdup(name);
/home/yichen/Desktop/Gemini_Baseline_Code07/F012.c,81,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,queue[count].note = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F013.c,66,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"tasks = realloc(tasks, capacity * sizeof(Task));"
/home/yichen/Desktop/Gemini_Baseline_Code07/F013.c,68,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,tasks[count].title = strdup(title);
/home/yichen/Desktop/Gemini_Baseline_Code07/F013.c,69,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,tasks[count].note = strdup(p);
/home/yichen/Desktop/Gemini_Baseline_Code07/F013.c,70,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,"tasks[count].status = strdup(""TODO"");"
