file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,75,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(newtext, p->text);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,76,high,confirmed,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(newtext, rest);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,61,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"int n = sscanf(line, ""%s %s"", cmd, id);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,24,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Paragraph *p = malloc(sizeof(Paragraph));
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,25,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->id = strdup(id);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,26,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->text = strdup(text);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,48,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,char *r = strdup(s);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,74,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *newtext = malloc(strlen(p->text) + strlen(rest) + 1);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,87,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->text = strdup(rest);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,75,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(newtext, p->text);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F001.c,76,high,confirmed,memory,memory_string,string,tainted_sink:strcat,externally controlled input appears to reach strcat argument 2,"strcat(newtext, rest);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F002.c,102,medium,review,memory,memory_string,dangerous_function,dangerous_function:sprintf,sprintf writes without an explicit destination size,"sprintf(combined, ""%s %s"", r1->message, r2->message);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F002.c,72,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"int n = sscanf(line, ""%s"", cmd);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F002.c,24,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Record *r = malloc(sizeof(Record));
/home/yichen/Desktop/Deepseek_Baseline_Code04/F002.c,25,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,r->tag = strdup(tag);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F002.c,26,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,r->message = strdup(msg);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F002.c,59,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,char *r = strdup(s);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F002.c,101,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *combined = malloc(strlen(r1->message) + strlen(r2->message) + 2);
/home/yichen/Desktop/Deepseek_Baseline_Code04/F003.c,70,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"int n = sscanf(line, ""%s"", cmd);"
/home/yichen/Desktop/Deepseek_Baseline_Code04/F003.c,24,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Alias *a = malloc(sizeof(Alias));
