file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Qwen_Security_Prompt06/F001.c,52,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Paragraph *p = malloc(sizeof(Paragraph));
/home/yichen/Desktop/Qwen_Security_Prompt06/F001.c,53,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->id = strdup(id);
/home/yichen/Desktop/Qwen_Security_Prompt06/F001.c,54,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->text = strdup(text);
/home/yichen/Desktop/Qwen_Security_Prompt06/F001.c,96,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *new_text = malloc(len);
/home/yichen/Desktop/Qwen_Security_Prompt06/F001.c,105,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->text = strdup(text);
/home/yichen/Desktop/Qwen_Security_Prompt06/F002.c,57,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Msg *m = malloc(sizeof(Msg));
/home/yichen/Desktop/Qwen_Security_Prompt06/F002.c,58,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,m->text = strdup(text);
/home/yichen/Desktop/Qwen_Security_Prompt06/F002.c,68,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,t = malloc(sizeof(Tag));
/home/yichen/Desktop/Qwen_Security_Prompt06/F002.c,69,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,t->name = strdup(tag);
/home/yichen/Desktop/Qwen_Security_Prompt06/F002.c,82,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *res = malloc(len);
/home/yichen/Desktop/Qwen_Security_Prompt06/F003.c,54,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,a->expansion = strdup(exp);
/home/yichen/Desktop/Qwen_Security_Prompt06/F003.c,56,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,a = malloc(sizeof(Alias));
/home/yichen/Desktop/Qwen_Security_Prompt06/F003.c,57,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,a->name = strdup(name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F003.c,58,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,a->expansion = strdup(exp);
/home/yichen/Desktop/Qwen_Security_Prompt06/F003.c,68,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,a->name = strdup(new_name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,83,low,review,memory,memory_string,memory,dangerous_function:strncpy,strncpy can leave the destination unterminated unless null termination is proven,"strncpy(key, text + i + 1, j - i - 1);"
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,91,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(res + res_len, v->value);"
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,46,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,v->value = strdup(value);
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,48,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,v = malloc(sizeof(Var));
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,49,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,v->key = strdup(key);
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,50,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,v->value = strdup(value);
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,74,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *res = malloc(cap);
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,89,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"res = realloc(res, cap);"
/home/yichen/Desktop/Qwen_Security_Prompt06/F004.c,100,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"res = realloc(res, cap);"
/home/yichen/Desktop/Qwen_Security_Prompt06/F005.c,52,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Line *n = malloc(sizeof(Line));
/home/yichen/Desktop/Qwen_Security_Prompt06/F005.c,53,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,n->text = strdup(text);
/home/yichen/Desktop/Qwen_Security_Prompt06/F005.c,90,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,l->text = strdup(text);
/home/yichen/Desktop/Qwen_Security_Prompt06/F006.c,48,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,i = malloc(sizeof(Item));
/home/yichen/Desktop/Qwen_Security_Prompt06/F006.c,49,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,i->name = strdup(name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F007.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Activity *a = malloc(sizeof(Activity));
/home/yichen/Desktop/Qwen_Security_Prompt06/F007.c,39,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,a->label = strdup(label);
/home/yichen/Desktop/Qwen_Security_Prompt06/F007.c,40,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,a->note = strdup(note);
/home/yichen/Desktop/Qwen_Security_Prompt06/F007.c,93,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Activity **arr = malloc(count * sizeof(Activity *));
/home/yichen/Desktop/Qwen_Security_Prompt06/F008.c,46,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,s = malloc(sizeof(Student));
/home/yichen/Desktop/Qwen_Security_Prompt06/F008.c,47,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,s->name = strdup(name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F008.c,48,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,s->note = strdup(note);
/home/yichen/Desktop/Qwen_Security_Prompt06/F008.c,60,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,s->note = strdup(note);
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,50,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,g = malloc(sizeof(Group));
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,51,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,g->name = strdup(group);
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,56,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Event *e = malloc(sizeof(Event));
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,57,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,e->desc = strdup(desc);
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,67,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,nG = malloc(sizeof(Group));
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,68,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,nG->name = strdup(newG);
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,75,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Event *ne = malloc(sizeof(Event));
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,76,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,ne->desc = strdup(e->desc);
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,83,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Event *ne = malloc(sizeof(Event));
/home/yichen/Desktop/Qwen_Security_Prompt06/F009.c,84,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,ne->desc = strdup(e->desc);
/home/yichen/Desktop/Qwen_Security_Prompt06/F010.c,50,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,k = malloc(sizeof(Key));
/home/yichen/Desktop/Qwen_Security_Prompt06/F010.c,51,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,k->key = strdup(key);
/home/yichen/Desktop/Qwen_Security_Prompt06/F010.c,56,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Value *v = malloc(sizeof(Value));
/home/yichen/Desktop/Qwen_Security_Prompt06/F010.c,57,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,v->val = strdup(val);
/home/yichen/Desktop/Qwen_Security_Prompt06/F011.c,45,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,d->title = strdup(title);
/home/yichen/Desktop/Qwen_Security_Prompt06/F011.c,46,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,d->body = strdup(body);
/home/yichen/Desktop/Qwen_Security_Prompt06/F011.c,55,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,d->body = strdup(body);
/home/yichen/Desktop/Qwen_Security_Prompt06/F012.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Person *p = malloc(sizeof(Person));
/home/yichen/Desktop/Qwen_Security_Prompt06/F012.c,38,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->name = strdup(name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F012.c,39,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,p->note = strdup(note);
/home/yichen/Desktop/Qwen_Security_Prompt06/F013.c,44,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Task *t = malloc(sizeof(Task));
/home/yichen/Desktop/Qwen_Security_Prompt06/F013.c,45,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,t->title = strdup(title);
/home/yichen/Desktop/Qwen_Security_Prompt06/F013.c,46,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,t->note = strdup(note);
/home/yichen/Desktop/Qwen_Security_Prompt06/F014.c,49,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Item *i = malloc(sizeof(Item));
/home/yichen/Desktop/Qwen_Security_Prompt06/F014.c,50,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,i->name = strdup(name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F014.c,51,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,i->note = strdup(note);
/home/yichen/Desktop/Qwen_Security_Prompt06/F014.c,60,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Label *l = malloc(sizeof(Label));
/home/yichen/Desktop/Qwen_Security_Prompt06/F014.c,61,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,l->name = strdup(label_name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F015.c,45,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Contact *c = malloc(sizeof(Contact));
/home/yichen/Desktop/Qwen_Security_Prompt06/F015.c,46,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,c->name = strdup(name);
/home/yichen/Desktop/Qwen_Security_Prompt06/F015.c,47,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,c->email = strdup(email);
/home/yichen/Desktop/Qwen_Security_Prompt06/F015.c,48,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,c->phone = strdup(phone);
/home/yichen/Desktop/Qwen_Security_Prompt06/F015.c,49,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,"c->note = strdup("""");"
/home/yichen/Desktop/Qwen_Security_Prompt06/F015.c,58,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,c->note = strdup(text);
/home/yichen/Desktop/Qwen_Security_Prompt06/F015.c,67,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *new_note = malloc(len);
/home/yichen/Desktop/Qwen_Security_Prompt06/F016.c,44,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,Contact *c = malloc(sizeof(Contact));
