file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Qwen_SDF03/F002.c,49,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (n) { n->tag = strdup(tag); n->msg = strdup(ptr); n->next = head; head = n; }
/home/yichen/Desktop/Qwen_SDF03/F002.c,66,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (nn) { nn->tag = strdup(nt); nn->msg = buf; nn->next = head; head = nn; }
/home/yichen/Desktop/Qwen_SDF03/F003.c,43,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (n) { n->name = strdup(name); n->exp = strdup(ptr); n->next = head; head = n; }
/home/yichen/Desktop/Qwen_SDF03/F004.c,43,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (n) { n->key = strdup(key); n->val = strdup(ptr); n->next = head; head = n; }
/home/yichen/Desktop/Qwen_SDF03/F005.c,27,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,lines[idx] = strdup(text);
/home/yichen/Desktop/Qwen_SDF03/F006.c,40,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int c = atoi(ptr);
/home/yichen/Desktop/Qwen_SDF03/F006.c,50,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int c = atoi(ptr);
/home/yichen/Desktop/Qwen_SDF03/F006.c,44,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (n) { n->name = strdup(name); n->count = c; n->next = head; head = n; }
/home/yichen/Desktop/Qwen_SDF03/F007.c,44,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,acts[count].label = strdup(label);
/home/yichen/Desktop/Qwen_SDF03/F007.c,45,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,acts[count].note = strdup(ptr);
/home/yichen/Desktop/Qwen_SDF03/F008.c,37,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int sc = atoi(sc_str);
/home/yichen/Desktop/Qwen_SDF03/F008.c,46,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,stus[count].name = strdup(name);
/home/yichen/Desktop/Qwen_SDF03/F008.c,52,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,stus[idx].note = strdup(ptr);
/home/yichen/Desktop/Qwen_SDF03/F009.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,g->descs[g->count++] = strdup(desc);
/home/yichen/Desktop/Qwen_SDF03/F009.c,54,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (g) { g->name = strdup(name); g->descs = NULL; g->count = g->cap = 0; g->next = head; head = g; }
/home/yichen/Desktop/Qwen_SDF03/F009.c,68,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (gn) { gn->name = strdup(n); gn->descs = NULL; gn->count = gn->cap = 0; gn->next = head; head = gn; }
/home/yichen/Desktop/Qwen_SDF03/F010.c,44,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (k) { k->name = strdup(name); k->vals = NULL; k->count = k->cap = 0; k->next = head; head = k; }
/home/yichen/Desktop/Qwen_SDF03/F010.c,51,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (k) k->vals[k->count++] = strdup(ptr);
/home/yichen/Desktop/Qwen_SDF03/F011.c,40,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (d) { d->title = strdup(title); d->body = strdup(ptr); d->next = head; head = d; }
/home/yichen/Desktop/Qwen_SDF03/F013.c,45,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (t) { t->title = strdup(title); t->note = strdup(ptr); t->status = 0; t->next = head; head = t; }
/home/yichen/Desktop/Qwen_SDF03/F014.c,42,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (i) { i->name = strdup(name); i->note = strdup(ptr); i->labels = NULL; i->lcount = i->lcap = 0; i->next = head; head = i; }
/home/yichen/Desktop/Qwen_SDF03/F014.c,55,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,i->labels[i->lcount++] = strdup(label);
/home/yichen/Desktop/Qwen_SDF03/F015.c,42,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,"if (c) { c->name = strdup(name); c->email = strdup(email); c->phone = strdup(phone); c->note = strdup(""""); c->next = head; head = c; }"
/home/yichen/Desktop/Qwen_SDF03/F016.c,34,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (c) { c->name = strdup(name); c->email = strdup(email); c->phone = strdup(phone); c->next = head; head = c; }
/home/yichen/Desktop/Qwen_SDF03/F016.c,40,medium,review,auxiliary,auxiliary_file_resource,file,external_path_fopen,fopen receives an externally controlled path; review intended file access policy,"FILE *f = fopen(argv[1], ""r"");"
/home/yichen/Desktop/Qwen_SDF03/F017.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (k) { k->key = strdup(key); k->val = strdup(val); k->next = head; head = k; }
