file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,33,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"if (t) { t++; t = strchr(t, ' '); if (t) strcpy(text, t + 1); }"
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,42,medium,review,memory,memory_string,dangerous_function,dangerous_function:sprintf,sprintf writes without an explicit destination size,"sprintf(nt, ""%s %s"", p[idx].text, text);"
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,26,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"if (sscanf(line, ""%s"", cmd) != 1) continue;"
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,31,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%*s %s"", id);"
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (idx != -1) { free(p[idx].text); p[idx].text = strdup(text); }
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,38,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"else { p = realloc(p, (n + 1) * sizeof(Para)); p[n].id = strdup(id); p[n].text = strdup(text); n++; }"
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,38,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,"else { p = realloc(p, (n + 1) * sizeof(Para)); p[n].id = strdup(id); p[n].text = strdup(text); n++; }"
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,41,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *nt = malloc(strlen(p[idx].text) + strlen(text) + 2);
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,46,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,if (idx != -1) { free(p[idx].text); p[idx].text = strdup(text); }
/home/yichen/Desktop/Qwen_Security_Prompt03/F001.c,33,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"if (t) { t++; t = strchr(t, ' '); if (t) strcpy(text, t + 1); }"
/home/yichen/Desktop/Qwen_Security_Prompt03/F002.c,34,medium,review,memory,memory_string,dangerous_function,dangerous_function:sprintf,sprintf writes without an explicit destination size,"sprintf(nm, ""%s %s"", m1, m2);"
/home/yichen/Desktop/Qwen_Security_Prompt03/F002.c,17,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"if (sscanf(line, ""%s"", cmd) != 1) continue;"
