file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Deepseek_SDF05/F001.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F001.c,49,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(new_text, p->text);"
/home/yichen/Desktop/Deepseek_SDF05/F001.c,51,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(new_text + old_len + 1, text);"
/home/yichen/Desktop/Deepseek_SDF05/F001.c,49,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(new_text, p->text);"
/home/yichen/Desktop/Deepseek_SDF05/F002.c,36,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F002.c,67,medium,review,memory,memory_string,dangerous_function,dangerous_function:sprintf,sprintf writes without an explicit destination size,"sprintf(combined, ""%s %s"", m1->text, m2->text);"
/home/yichen/Desktop/Deepseek_SDF05/F003.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F004.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F004.c,76,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(key, start, len);"
/home/yichen/Desktop/Deepseek_SDF05/F005.c,23,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F005.c,132,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int index = atoi(arg1);
/home/yichen/Desktop/Deepseek_SDF05/F005.c,147,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int index = atoi(arg1);
/home/yichen/Desktop/Deepseek_SDF05/F005.c,150,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int index = atoi(arg1);
/home/yichen/Desktop/Deepseek_SDF05/F006.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F006.c,108,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int count = atoi(arg2);
/home/yichen/Desktop/Deepseek_SDF05/F006.c,111,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atoi,atoi has no reliable error reporting for invalid numeric input,int count = atoi(arg2);
/home/yichen/Desktop/Deepseek_SDF05/F007.c,25,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F008.c,32,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F008.c,123,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %[^\n] conversion,"if (sscanf(p, ""%d %[^\n]"", &score, note) >= 1) {"
/home/yichen/Desktop/Deepseek_SDF05/F009.c,36,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F010.c,36,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F011.c,32,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F012.c,32,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F013.c,32,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F014.c,37,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F015.c,33,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F015.c,64,medium,review,memory,memory_string,dangerous_function,dangerous_function:sprintf,sprintf writes without an explicit destination size,"sprintf(new_note, ""%s %s"", k->note, r->note);"
/home/yichen/Desktop/Deepseek_SDF05/F016.c,32,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F017.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F018.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F019.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F019.c,119,low,review,auxiliary,auxiliary_integer,integer,dangerous_function:atol,atol has no reliable error reporting for invalid numeric input,long amount = atol(arg2);
/home/yichen/Desktop/Deepseek_SDF05/F019.c,116,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %[^\n] conversion,"sscanf(p, ""%ld %[^\n]"", &amount, memo);"
/home/yichen/Desktop/Deepseek_SDF05/F020.c,31,low,review,memory,memory_copy,memory,dangerous_function:memcpy,memcpy requires a destination bound that is not proven here,"memcpy(copy, s, len + 1);"
/home/yichen/Desktop/Deepseek_SDF05/F020.c,106,low,review,memory,memory_string,memory,dangerous_function:strncat,strncat requires a remaining-capacity calculation,"strncat(body, ""\n"", sizeof(body) - strlen(body) - 1);"
/home/yichen/Desktop/Deepseek_SDF05/F020.c,108,low,review,memory,memory_string,memory,dangerous_function:strncat,strncat requires a remaining-capacity calculation,"strncat(body, line, sizeof(body) - strlen(body) - 1);"
/home/yichen/Desktop/Deepseek_SDF05/F020.c,131,low,review,memory,memory_string,memory,dangerous_function:strncat,strncat requires a remaining-capacity calculation,"if (in_body) strncat(body, ""\n"", sizeof(body) - strlen(body) - 1);"
/home/yichen/Desktop/Deepseek_SDF05/F020.c,132,low,review,memory,memory_string,memory,dangerous_function:strncat,strncat requires a remaining-capacity calculation,"strncat(body, line, sizeof(body) - strlen(body) - 1);"
